,user,text,followers_count,retweet_count,created_at
0,elonmusk,@bio_bootloader Bowie &amp; Bach are my two fav musicians,134124902,252,2009-06-02 20:12:29+00:00
1,elonmusk,@stevenmarkryan Great point,134124902,190,2009-06-02 20:12:29+00:00
2,elonmusk,@AlecStapp He sounds great,134124902,85,2009-06-02 20:12:29+00:00
3,elonmusk,@DurantQuotesBot Sigh,134124902,107,2009-06-02 20:12:29+00:00
4,elonmusk,@stillgray Parents are not allowed to know what teachers are telling their kids?,134124902,7642,2009-06-02 20:12:29+00:00
5,elonmusk,@stillgray !!,134124902,973,2009-06-02 20:12:29+00:00
6,elonmusk,@WholeMarsBlog True,134124902,250,2009-06-02 20:12:29+00:00
7,elonmusk,"@HeidiBriones @strxwmxn For a Community Note to be shown widely, it must be approved by multiple reviewers with different viewpoints. 

If both left &amp; right wing reviewers agree on a Note, then it is highly likely to be accurate!

This is a big part of the (not) secret sauce.

It is all open source.",134124902,117,2009-06-02 20:12:29+00:00
8,elonmusk,@SciGuySpace Just a scratch,134124902,95,2009-06-02 20:12:29+00:00
9,elonmusk,"@ylecun @yoavgo No one at OpenAI signed it, so it’s irrelevant",134124902,52,2009-06-02 20:12:29+00:00
10,elonmusk,Caused by expired ground station cert. We’re scrubbing the system for other single-point vulnerabilities.,134124902,700,2009-06-02 20:12:29+00:00
11,elonmusk,"Sorry, slight glitch with @SpaceX Starlink. Coming back online now.",134124902,1916,2009-06-02 20:12:29+00:00
12,elonmusk,"@terronk Also, believe your eyes as you walk around downtown SF. It’s insane.",134124902,118,2009-06-02 20:12:29+00:00
13,elonmusk,@terronk Well-said,134124902,136,2009-06-02 20:12:29+00:00
14,elonmusk,"@CSI_Starbase @LabPadre High-strength stainless steel armor is needed to protect the launch stand from the world’s biggest blowtorch!

Even steel will be eroded fast by the Starship booster plume. We will need to make a water-cooled steel jacket to achieve full reusability.",134124902,623,2009-06-02 20:12:29+00:00
15,elonmusk,@WholeMarsBlog I am dumb way more often than I’d like to be!,134124902,700,2009-06-02 20:12:29+00:00
16,elonmusk,"@thatrpb @micsolana Most critics these days seem to write for each other, rather than the public. 

I miss Roger Ebert.",134124902,83,2009-06-02 20:12:29+00:00
17,elonmusk,"@ylecun Yeah, cockatoos too!",134124902,110,2009-06-02 20:12:29+00:00
18,elonmusk,@greg_price11 Sounds messed up,134124902,1289,2009-06-02 20:12:29+00:00
19,elonmusk,@TitterDaily This will be great for reducing impersonation risk,134124902,1396,2009-06-02 20:12:29+00:00
20,elonmusk,@TheBabylonBee 🤔,134124902,437,2009-06-02 20:12:29+00:00
21,elonmusk,@Chad_Hurley Ok,134124902,52,2009-06-02 20:12:29+00:00
22,elonmusk,@WallStreetSilv This trend will accelerate,134124902,1204,2009-06-02 20:12:29+00:00
23,elonmusk,"@SF___Tahoe True, it was my worst decision ever",134124902,340,2009-06-02 20:12:29+00:00
24,elonmusk,https://t.co/3CsNcMZdtT,134124902,7041,2009-06-02 20:12:29+00:00
25,elonmusk,@amuse @Riley_Gaines_ Messed up,134124902,598,2009-06-02 20:12:29+00:00
26,elonmusk,@UpdatingOnRome 🤣 🪴 🧟‍♂️,134124902,100,2009-06-02 20:12:29+00:00
27,elonmusk,@slashdot Noice,134124902,202,2009-06-02 20:12:29+00:00
28,elonmusk,"@WholeMarsBlog So many well off critics don’t understand that demand at scale is limited by affordability. 

There is plenty of demand for our products, but if the price is more money than people have, that demand is irrelevant.",134124902,2247,2009-06-02 20:12:29+00:00
29,elonmusk,@andst7 Italy is disappearing!,134124902,2375,2009-06-02 20:12:29+00:00
30,elonmusk,@maccaw True,134124902,167,2009-06-02 20:12:29+00:00
31,elonmusk,@ShellenbergerMD @lwoodhouse Wow,134124902,1051,2009-06-02 20:12:29+00:00
32,elonmusk,"@Jason If you become mayor, my companies will double their investment in San Francisco.

Such an incredible city has been used &amp; abused by management for too long!",134124902,1649,2009-06-02 20:12:29+00:00
33,elonmusk,@Chad_Hurley 🤣 don’t fall asleep on the floor with long hair and a Roomba,134124902,276,2009-06-02 20:12:29+00:00
34,elonmusk,"@SmokeAwayyy Scary. I suppose it’s not boring, but still.",134124902,901,2009-06-02 20:12:29+00:00
35,elonmusk,@ellagirwin I should emphasize that someone really has to go over-the-top by repeatedly harassing the same account with no provocation to get their post bounced. This is not a hair-trigger situation.,134124902,1178,2009-06-02 20:12:29+00:00
36,elonmusk,@EstesRockets 🔥🔥,134124902,82,2009-06-02 20:12:29+00:00
37,elonmusk,@PatrickJBlum These are great,134124902,307,2009-06-02 20:12:29+00:00
